PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS 
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% Unweighted ILI,% Weighted ILI 
2013,40,2974,3769,1840,X,638,456,9677,854487,1960,1.13249236091362,1.15745911351776
2013,41,3276,3925,1924,X,762,533,10420,860298,1990,1.21120820924842,1.27183799247071
2013,42,3483,3880,2010,X,785,500,10658,848016,2018,1.25681590913379,1.31622778841107
2013,43,3930,4484,2292,X,816,514,12036,877917,2027,1.37097242677839,1.3744431186123
2013,44,4045,4642,2354,X,930,531,12502,874537,2028,1.42955643957889,1.46781164731752
2013,45,4434,5062,2511,X,953,538,13498,878845,2017,1.53587947817875,1.58339516562057
2013,46,4643,5000,2716,X,990,578,13927,868987,2054,1.60267069587922,1.60253123820218
2013,47,4835,5579,3088,X,1083,583,15168,875411,2012,1.73267185356364,1.72343564428074
2013,48,4937,4313,3027,X,1059,639,13975,665926,2042,2.09858152407325,2.11076274613266
2013,49,5549,6579,4375,X,1552,865,18920,854664,2055,2.21373545627287,2.17080266462782
2013,50,5501,7046,4458,X,1591,802,19398,802651,2054,2.41674152277889,2.36970734881753
2013,51,6555,8406,6525,X,2272,939,24697,814891,2009,3.0307120829657,3.15997185413706
2013,52,7814,7485,7499,X,2874,1316,26988,615148,2007,4.3872368925852,4.59053083606697
2014,1,7488,6726,9135,X,3555,1750,28654,680424,2033,4.21119772377224,4.28195237016181
2014,2,6233,7881,8846,X,3565,1622,28147,812343,2059,3.46491568216874,3.56287853159277
2014,3,6007,9517,8091,X,3149,1606,28370,855297,2049,3.3169764421014,3.36378383500259
2014,4,5878,8858,6818,X,2616,1332,25502,786928,2062,3.24070308846553,3.39659330794188
2014,5,5133,8714,6031,X,2403,1203,23484,813726,2051,2.88598373408248,3.11922410276772
2014,6,4729,7711,5278,X,2242,1125,21085,804244,2051,2.62171679241623,2.83572446257272
2014,7,4210,6717,4470,X,1829,969,18195,777340,2018,2.34067460827952,2.48484347952231
2014,8,4250,6121,4306,X,1684,873,17234,812700,2025,2.12058570198105,2.27410028951226
2014,9,3953,5875,3691,X,1505,890,15914,832786,1978,1.91093510217511,2.07243768192377
2014,10,3775,5575,3472,X,1430,792,15044,790831,1944,1.9023027675951,1.98207055567087
2014,11,3616,5022,3210,X,1360,816,14024,794024,1904,1.76619346518493,1.82441333205314
2014,12,3798,5611,3285,X,1422,810,14926,803374,1922,1.85791424666469,1.82035542456684
2014,13,3523,5812,3256,X,1298,772,14661,805133,1887,1.82094138483952,1.75390817877279
2014,14,3582,5659,3153,X,1436,807,14637,797863,1866,1.83452547617824,1.74542139241617
2014,15,3574,5587,2943,X,1316,786,14206,809707,1845,1.75446179914463,1.67236107677139
2014,16,3130,4279,2516,X,1088,710,11723,773101,1810,1.51636073423783,1.51659380114675
2014,17,2846,3770,2504,X,1036,658,10814,770592,1771,1.40333665545451,1.44778002570717
2014,18,2501,3591,2084,X,913,559,9648,766139,1746,1.2593015105614,1.29028472955508
2014,19,2789,3615,2009,X,834,528,9775,737834,1714,1.32482374084144,1.37388328738395
2014,20,2544,3256,1876,X,825,532,9033,708049,1660,1.27575916356071,1.34207700934669
2014,21,2733,3068,1742,X,771,483,8797,679395,1570,1.29482848710986,1.3456298777881
2014,22,2528,2459,1542,X,625,504,7658,624582,1554,1.22610001569049,1.21290715680854
2014,23,2383,2349,1492,X,607,398,7229,631143,1461,1.14538226677631,1.19290864761368
2014,24,2227,2181,1413,X,561,401,6783,635233,1461,1.06779717048705,1.14146092264584
2014,25,2159,2009,1285,X,528,388,6369,593740,1392,1.0726917505979,1.06503398152824
2014,26,2049,1917,1235,X,509,328,6038,596063,1411,1.01298017155905,1.1266870707276
2014,27,1865,1688,1075,X,416,308,5352,538049,1388,0.994704943230078,0.94735330855117
2014,28,1758,1623,1122,X,441,351,5295,601116,1394,0.880861597428782,0.944186620641555
2014,29,1582,1621,1116,X,403,361,5083,592305,1376,0.858172731953976,0.934822111238845
2014,30,1455,1450,1128,X,398,334,4765,591814,1372,0.805151618582866,0.817359793182246
2014,31,1450,1655,1094,X,417,326,4942,603580,1378,0.818781271745253,0.852791742870778
2014,32,1460,1528,1074,X,409,273,4744,605307,1382,0.783734534707182,0.746994143808353
2014,33,1528,1631,1107,X,403,311,4980,586778,1369,0.848702575761191,0.761097842728888
2014,34,1569,1813,1196,X,412,315,5305,635980,1371,0.834145727853077,0.767626654442657
2014,35,1684,2184,1223,X,401,307,5799,640080,1353,0.905980502437195,0.862175632074417
2014,36,1753,2258,1284,X,453,302,6050,578913,1352,1.04506203868284,0.984906974335321
2014,37,2300,3316,1550,X,568,396,8130,695966,1401,1.16816051358831,1.1628694870486
2014,38,2535,3650,1705,X,605,393,8888,696282,1405,1.27649429397859,1.22731135176964
2014,39,2522,3447,1820,X,657,428,8874,683887,1407,1.29758278779974,1.2070964910421
