PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS 
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% Unweighted ILI,% Weighted ILI 
2008,40,1535,2352,X,1476,X,324,5687,555999,1435,1.02284356626541,1.06828136522751
2008,41,1861,2291,X,1485,X,322,5959,578446,1500,1.0301739488215,1.00755640865393
2008,42,1869,2219,X,1467,X,341,5896,582351,1525,1.01244781927051,0.979398906443081
2008,43,1976,2474,X,1668,X,367,6485,598473,1527,1.08359107261313,1.04942944896004
2008,44,2119,2547,X,1869,X,452,6987,599343,1545,1.1657765252952,1.13218246937968
2008,45,2276,2668,X,1981,X,372,7297,612526,1555,1.19129636946024,1.13156087725251
2008,46,2512,2854,X,1889,X,412,7667,598635,1555,1.28074703283303,1.15469317831331
2008,47,2600,2828,X,1893,X,412,7733,608646,1563,1.27052506711619,1.20448041075936
2008,48,3024,2412,X,1741,X,457,7634,478386,1523,1.5957824852734,1.36081326766458
2008,49,3114,2913,X,2212,X,469,8708,597052,1551,1.45849942718557,1.30321908134958
2008,50,3252,3024,X,1974,X,439,8689,579573,1543,1.49920717493741,1.30204227865501
2008,51,3137,2579,X,1640,X,456,7812,479318,1416,1.62981569646873,1.45108668034987
2008,52,3897,2367,X,1947,X,495,8706,403876,1484,2.15561211857105,1.79927367652229
2008,53,3814,2042,X,2163,X,584,8603,425780,1490,2.02052703273991,2.12133663329022
2009,1,3245,2548,X,2606,X,557,8956,579428,1539,1.54566227382867,1.47137840370282
2009,2,3142,3345,X,2329,X,473,9289,565631,1512,1.64223672323476,1.6155496111202
2009,3,3602,4597,X,2821,X,436,11456,582932,1566,1.96523779789066,1.95332602587433
2009,4,4039,6602,X,3215,X,468,14324,611176,1554,2.34367841669176,2.42906504047013
2009,5,4606,8882,X,4240,X,540,18268,638613,1580,2.86057440108485,2.96686053291814
2009,6,5064,11215,X,4636,X,752,21667,648304,1569,3.34210493842395,3.57353697615211
2009,7,4848,9851,X,4685,X,638,20022,624583,1543,3.20565881556174,3.36652900665455
2009,8,4694,10092,X,5007,X,657,20450,659573,1544,3.10049077206011,3.29619584830173
2009,9,4420,9116,X,4272,X,633,18441,623389,1534,2.95818501770163,3.17226797580573
2009,10,4046,7446,X,3601,X,618,15711,637672,1524,2.46380584375666,2.58040499453689
2009,11,3657,6036,X,3002,X,582,13277,605503,1494,2.19272241425724,2.42922285573919
2009,12,3237,5052,X,2661,X,450,11400,608342,1470,1.8739459054282,1.99027929209984
2009,13,2829,4283,X,2158,X,399,9669,586651,1440,1.64816901360434,1.72422584359491
2009,14,2577,3407,X,2085,X,391,8460,564460,1422,1.49877759274351,1.60354839431917
2009,15,2371,2761,X,1727,X,363,7222,558837,1415,1.29232674286062,1.2841784961947
2009,16,2353,2855,X,1743,X,397,7348,577836,1445,1.27164108847493,1.29320023073958
2009,17,4821,8043,X,5093,X,670,18627,624734,1405,2.98158896426319,2.74012331225323
2009,18,3920,6221,X,3875,X,562,14578,598189,1422,2.43702241264885,2.22391145123621
2009,19,3236,5888,X,3018,X,412,12554,550300,1372,2.28130110848628,1.76656838942395
2009,20,4188,12026,X,4136,X,424,20774,544432,1331,3.81571986951538,1.92170567241312
2009,21,4496,12461,X,4950,X,487,22394,531526,1314,4.21315231992414,1.86110425685729
2009,22,3865,8615,X,4213,X,412,17105,538177,1305,3.17832237349422,1.68422773140478
2009,23,3072,5660,X,3276,X,384,12392,493761,1296,2.50971623923315,1.73930292858566
2009,24,2623,4740,X,3084,X,333,10780,521701,1280,2.06631768005045,1.83001431081168
2009,25,2299,3700,X,2476,X,326,8801,512268,1279,1.71804602278495,1.581280179284
2009,26,2145,2893,X,2023,X,361,7422,475877,1237,1.55964671543277,1.49172467570645
2009,27,1701,2481,X,1815,X,293,6290,480680,1246,1.30856286926854,1.38899504262634
2009,28,1581,2437,X,1708,X,238,5964,502466,1248,1.18694598241473,1.34702058135752
2009,29,1608,2285,X,1611,X,231,5735,503971,1248,1.1379623033865,1.16056441078711
2009,30,1519,2199,X,1575,X,294,5587,485804,1254,1.1500522844604,1.20850078834848
2009,31,1651,2082,X,1530,X,263,5526,496666,1230,1.11261894311268,1.15544127671425
2009,32,1645,2321,X,1646,X,265,5877,506019,1234,1.16141884000403,1.14517885143283
2009,33,2167,4210,X,2168,X,396,8941,544827,1286,1.64107138596288,1.46639614432285
2009,34,2883,8253,X,2977,X,443,14556,588916,1320,2.4716597952849,2.3801716181174
