PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS 
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% Unweighted ILI,% Weighted ILI 
2012,40,2773,3691,1814,X,702,415,9395,779285,1932,1.20559230576747,1.23033799023383
2012,41,2960,4007,1957,X,745,489,10158,769959,1940,1.31929102718456,1.32780413074372
2012,42,3202,4233,1902,X,760,488,10585,797444,1968,1.32736593415964,1.33994959884844
2012,43,3346,4268,2012,X,771,516,10913,798388,1958,1.36687926171235,1.37841857220365
2012,44,3326,4422,2032,X,797,484,11061,734781,1929,1.50534649099528,1.50085300042297
2012,45,3733,5145,2330,X,925,541,12674,785871,1974,1.61273287855131,1.65162720550755
2012,46,4034,5526,2569,X,897,597,13623,777534,1966,1.75207772264621,1.76746039739451
2012,47,4651,5387,2824,X,1105,683,14650,627772,1968,2.33364979642291,2.30609345677797
2012,48,5102,7018,3950,X,1498,953,18521,831730,2006,2.22680437161098,2.16323959613926
2012,49,6486,10857,4672,X,1791,1071,24877,835762,2006,2.97656509867642,2.83038168339698
2012,50,7446,12945,5692,X,2087,1262,29432,811800,1977,3.62552352796255,3.43760573738914
2012,51,8546,13971,7437,X,2730,1648,34332,754019,1908,4.55320091403532,4.30553654417291
2012,52,9709,11391,9295,X,3639,2554,36588,607171,1905,6.02597950165604,6.06082348055896
2013,1,8444,9108,9679,X,4080,2792,34103,687051,1982,4.96367809667696,4.64930761528004
2013,2,8297,13424,10877,X,4502,2796,39896,850531,1995,4.6907167404833,4.32583781212357
2013,3,8633,15992,8977,X,3523,2316,39441,838326,2008,4.70473300362866,4.51112522056244
2013,4,7441,13439,7021,X,2760,1765,32426,778610,1978,4.16460101976599,4.21710408140453
2013,5,6609,12653,6421,X,2551,1574,29808,806640,1963,3.69532877119905,3.78955719717799
2013,6,5757,10816,5236,X,1971,1207,24987,772086,1931,3.23629751089904,3.29205636145071
2013,7,5289,9395,4698,X,1894,1045,22321,771229,1926,2.89421170625067,3.01970249120548
2013,8,5099,8415,4357,X,1625,1023,20519,755092,1940,2.71741721538567,2.71499071039139
2013,9,4633,7981,4030,X,1619,968,19231,762238,1893,2.52296526806588,2.48450164496677
2013,10,4791,7709,3935,X,1536,858,18829,737736,1884,2.55226801999631,2.57807539963758
2013,11,4480,7065,3606,X,1352,889,17392,715059,1846,2.43224684956067,2.39237373118403
2013,12,3957,6095,3191,X,1270,741,15254,723449,1825,2.10851075887865,2.06778454820222
2013,13,3830,5204,2924,X,1124,632,13714,704276,1811,1.94724795392715,1.9028091759755
2013,14,3516,4299,2677,X,1106,675,12273,701881,1769,1.74858701118851,1.65902271861728
2013,15,3110,3929,2219,X,957,603,10818,722583,1742,1.49712904953479,1.43005787355339
2013,16,2707,3509,1757,X,724,491,9188,694415,1732,1.32312810063147,1.277570855266
2013,17,2588,3364,1630,X,582,425,8589,700300,1711,1.22647436812795,1.19008905847272
2013,18,2439,3142,1470,X,565,370,7986,667648,1675,1.19613928297546,1.09556345166064
2013,19,2422,2877,1474,X,570,361,7704,647130,1630,1.19048722822308,1.08588922872155
2013,20,2431,2583,1345,X,565,393,7317,623114,1582,1.17426345740908,1.07342729108029
2013,21,2230,2219,1279,X,493,368,6589,581338,1489,1.13341980052912,1.01676830381739
2013,22,2109,2094,1147,X,483,357,6190,541528,1486,1.14306185460401,1.04846974579855
2013,23,1983,1779,1086,X,460,330,5638,558875,1421,1.00881234623127,0.92034901008004
2013,24,1969,1713,1112,X,468,277,5539,541138,1419,1.02358363301043,0.920779051232949
2013,25,1877,1766,1040,X,489,302,5474,546643,1405,1.00138481604996,0.904333467935489
2013,26,1703,1581,947,X,399,285,4915,540408,1389,0.909498008911785,0.830570305641164
2013,27,1594,1489,851,X,321,251,4506,474295,1357,0.950041640751009,0.862836500226294
2013,28,1576,1491,862,X,362,219,4510,543833,1362,0.829298700152436,0.73218239189637
2013,29,1432,1405,849,X,315,185,4186,521874,1341,0.802109321407083,0.724557660736265
2013,30,1416,1464,800,X,332,221,4233,524969,1325,0.806333326348794,0.74084783101873
2013,31,1216,1284,852,X,350,184,3886,487617,1290,0.796936940262542,0.726037102207864
2013,32,1367,1338,870,X,302,198,4075,523015,1299,0.779136353641865,0.755638758953567
2013,33,1364,1366,919,X,331,188,4168,522533,1276,0.797652971199905,0.761846592236337
2013,34,1331,1561,892,X,301,232,4317,522965,1265,0.825485453137399,0.77989555941001
2013,35,1499,1814,1014,X,410,316,5053,540157,1260,0.935468761859978,0.899137895060365
2013,36,1681,2035,1137,X,462,311,5626,539175,1317,1.04344600547132,0.999523948068148
2013,37,1926,2437,1217,X,440,354,6374,584196,1307,1.09107217440722,1.05580151778984
2013,38,2175,2683,1350,X,537,365,7110,591969,1290,1.2010764077173,1.09670146053732
2013,39,2393,2963,1500,X,648,459,7963,631088,1364,1.26178916411024,1.24709209484314
