PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS 
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% Unweighted ILI,% Weighted ILI 
2010,40,2627,3142,1677,X,627,400,8473,746485,1838,1.13505294815033,1.10938713425693
2010,41,2953,3522,1779,X,649,444,9347,746230,1875,1.25256288275733,1.24341149915177
2010,42,3044,3641,1898,X,690,411,9684,777397,1907,1.24569557124609,1.25726202876095
2010,43,3226,3822,1754,X,682,420,9904,781234,1929,1.26773796327349,1.2573447750085
2010,44,3451,4397,1981,X,736,455,11020,766753,1947,1.437229459813,1.43413958364388
2010,45,3927,4679,1956,X,734,511,11807,769982,1940,1.5334124693824,1.51837799055075
2010,46,4416,5322,2327,X,774,497,13336,787038,1921,1.69445439737344,1.61617408131942
2010,47,4598,4145,2043,X,743,550,12079,606527,1938,1.99150243929784,1.8437771913117
2010,48,5045,4978,2440,X,915,619,13997,772016,1964,1.81304532548548,1.72535439681988
2010,49,5060,5867,2511,X,893,627,14958,742606,1936,2.01425789718909,1.87923221693075
2010,50,6300,7194,2847,X,1031,650,18022,704923,1916,2.55659128727535,2.33710295537404
2010,51,7295,7071,3433,X,1262,838,19899,588406,1840,3.3818485875399,3.03533142840057
2010,52,7478,5764,4455,X,1581,1068,20346,592880,1887,3.43172311428957,3.13599885550758
2011,1,6584,6342,4455,X,1586,1059,20026,744043,1923,2.69151110890096,2.53335613703439
2011,2,6238,7773,4220,X,1537,953,20721,711908,1921,2.91062890148727,2.91287712627155
2011,3,7247,11243,5095,X,1734,938,26257,751850,1964,3.49231894659839,3.44497101614635
2011,4,8007,15291,5952,X,1794,931,31975,798637,1947,4.00369629756698,4.16184976778724
2011,5,8195,16366,6536,X,1990,1197,34284,772974,1970,4.43533676423787,4.55159151064683
2011,6,8036,16516,6812,X,1996,1096,34456,812230,1961,4.24214816000394,4.46503662084063
2011,7,8172,17493,7257,X,2352,1293,36567,831600,1910,4.39718614718615,4.55124325058466
2011,8,7839,13718,6425,X,2028,1267,31277,801449,1908,3.90255649454925,4.08219688116142
2011,9,6376,10496,4869,X,1740,1146,24627,781629,1860,3.15072751906595,3.38812251982747
2011,10,5691,8427,3939,X,1421,899,20377,747993,1829,2.7242233550314,2.99141757883851
2011,11,5363,6702,3265,X,1175,804,17309,741807,1823,2.33335625034544,2.61541908056938
2011,12,4400,5489,2551,X,978,613,14031,728883,1790,1.92500030869152,2.09064821274753
2011,13,4189,5025,2244,X,877,622,12957,739375,1770,1.75242603550296,1.86145522471462
2011,14,3701,4557,1985,X,747,508,11498,729089,1723,1.57703654835006,1.61377133351264
2011,15,3164,3562,1574,X,641,450,9391,691707,1681,1.35765577043459,1.42199174483684
2011,16,3139,3064,1505,X,559,428,8695,662612,1651,1.31223098887433,1.33820458929916
2011,17,2895,2673,1324,X,555,383,7830,681240,1612,1.14937466971992,1.19995265450631
2011,18,2532,2553,1305,X,524,393,7307,655627,1585,1.11450565641744,1.14888598829324
2011,19,2551,2595,1254,X,485,351,7236,651983,1556,1.10984488859372,1.12193954091108
2011,20,2353,2280,1131,X,461,305,6530,620485,1516,1.05240255606501,1.06712359980534
2011,21,2213,2110,1045,X,405,299,6072,586460,1381,1.03536473075743,1.05058472800902
2011,22,2249,1980,1013,X,397,307,5946,531954,1357,1.11776582185678,1.15202557500184
2011,23,2040,1760,1037,X,432,278,5547,564322,1296,0.982949450845439,0.970975001791424
2011,24,1812,1599,911,X,405,262,4989,539238,1279,0.925194441044585,0.894683261446718
2011,25,1604,1422,870,X,308,244,4448,532356,1251,0.835531110760469,0.843568301087615
2011,26,1472,1462,750,X,324,210,4218,506732,1225,0.832392665156335,0.815409144721771
2011,27,1423,1269,823,X,270,224,4009,468565,1211,0.855591006583932,0.823052352820285
2011,28,1255,1206,756,X,316,188,3721,526346,1220,0.706949421103229,0.674634798608152
2011,29,1243,1184,733,X,259,178,3597,518011,1203,0.694386798735934,0.631882794921388
2011,30,1251,1188,667,X,263,169,3538,514262,1179,0.687976167789959,0.641512538393375
2011,31,1088,1125,635,X,203,151,3202,496632,1175,0.644742988772371,0.529812879147711
2011,32,1207,1223,704,X,231,158,3523,521671,1175,0.675329853490035,0.644089345962563
2011,33,1342,1358,767,X,241,166,3874,531975,1191,0.728229710042765,0.667718250145261
2011,34,1505,1600,814,X,305,220,4444,551005,1195,0.806526256567545,0.705668092495231
2011,35,1528,1781,887,X,308,213,4717,548228,1200,0.860408443202463,0.804155047351673
2011,36,1622,1809,904,X,293,185,4813,514168,1184,0.936075368362092,0.907803771601178
2011,37,1788,2206,1022,X,346,205,5567,575887,1196,0.966682699904669,1.00555042679285
2011,38,1816,2264,1126,X,374,242,5822,584534,1201,0.996007075721857,1.03601129798204
2011,39,2248,2514,1253,X,449,244,6708,605162,1213,1.10846351885941,1.0758325399871
