PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS 
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% Unweighted ILI,% Weighted ILI 
2009,35,3713,13114,X,3982,X,541,21350,573972,1358,3.71969364359237,3.4468130993167
2009,36,4087,13407,X,4547,X,520,22561,571201,1367,3.94974798713588,4.05314873784874
2009,37,4445,15326,X,5668,X,652,26091,638302,1380,4.08756356708893,4.26620869255677
2009,38,4462,14152,X,5252,X,588,24454,608464,1313,4.01897236319651,4.21579403010223
2009,39,4974,16291,X,6090,X,564,27919,606458,1331,4.6036164087208,4.88609794072285
2009,40,9302,27406,8554,X,2255,903,48420,855346,2056,5.66086706432251,6.06922886681801
2009,41,11527,32585,10271,X,2800,1013,58196,853912,2134,6.81522217746091,7.09466802852612
2009,42,13187,39364,12399,X,3048,1070,69068,906536,2162,7.61889213445467,7.71510229753135
2009,43,13174,36860,12166,X,3083,1128,66411,898860,2167,7.38835858754422,7.55134381192465
2009,44,12161,30860,10250,X,2672,1074,57017,899425,2197,6.33927231286655,6.67117818911313
2009,45,10151,21112,8174,X,2314,978,42729,864348,2191,4.94349498118813,5.20632628751353
2009,46,8979,14652,6163,X,1843,883,32520,853552,2157,3.80996119744316,4.04477479873624
2009,47,7716,8237,4378,X,1406,771,22508,654101,2146,3.44105879673017,3.49721728420123
2009,48,7195,7988,4259,X,1470,818,21730,814550,2122,2.6677306488245,2.69022729135581
2009,49,6490,7218,3588,X,1314,715,19325,781811,2093,2.47182503188111,2.47118784478882
2009,50,6275,5785,3249,X,1113,659,17081,728401,2014,2.34499952635979,2.44772749268797
2009,51,6078,4127,2677,X,1049,644,14575,536961,1934,2.71434983173825,2.64593841632028
2009,52,6598,3726,3202,X,1284,803,15613,583299,1937,2.67667182697039,2.6156703984032
2010,1,4998,3961,3333,X,1244,763,14299,721138,1996,1.98283823623218,1.90711760430302
2010,2,4877,4614,2793,X,1182,622,14088,770895,2016,1.82748623353375,1.86737529968374
2010,3,5399,5079,2693,X,1008,578,14757,766177,2053,1.92605625070969,1.88072330631514
2010,4,5333,5655,2560,X,1046,528,15122,785580,2026,1.92494717278953,1.96908433236079
2010,5,5816,6142,2581,X,948,550,16037,767773,1996,2.0887684250423,2.11386811062075
2010,6,5496,5577,2644,X,1006,658,15381,756068,1977,2.03434082648651,2.09694583121344
2010,7,5388,5536,2649,X,994,498,15065,762208,1954,1.97649460514715,1.90294345645018
2010,8,5040,6207,2943,X,1218,679,16087,806925,1990,1.99361774638287,1.96951462278194
2010,9,4281,5685,2763,X,1085,672,14486,781411,1953,1.85382596354543,1.92331036712421
2010,10,4612,5270,2660,X,1112,700,14354,768702,1946,1.86730358448397,1.89658616483482
2010,11,4063,4466,2468,X,976,628,12601,741293,1933,1.69986766366336,1.75180555050134
2010,12,3625,4108,2097,X,827,534,11191,747358,1917,1.49740820329748,1.52631922263178
2010,13,3408,3733,1954,X,736,528,10359,713863,1875,1.45111877208932,1.49571988362904
2010,14,3090,2933,1718,X,644,428,8813,730068,1850,1.20714782732567,1.22313021684613
2010,15,3117,3110,1572,X,598,404,8801,749563,1831,1.1741508052025,1.17754240902
2010,16,2921,3044,1461,X,522,414,8362,719580,1765,1.16206676116624,1.09111851417293
2010,17,3081,2972,1435,X,557,395,8440,720054,1755,1.17213431214881,1.11957937083649
2010,18,2781,2901,1385,X,482,365,7914,705551,1710,1.12167653365951,1.08168511952067
2010,19,2851,2645,1363,X,491,347,7697,669414,1664,1.14981162628807,1.12497482672273
2010,20,2816,2553,1364,X,498,372,7603,670887,1624,1.13327579756352,1.0619697897527
2010,21,2636,2188,1235,X,445,349,6853,633532,1497,1.08171331519166,1.08908766932167
2010,22,2413,2172,1212,X,463,335,6595,549773,1421,1.19958601095361,1.17760142013009
2010,23,2147,1831,1081,X,374,322,5755,604004,1435,0.95280825954795,0.974930395182935
2010,24,1975,1784,978,X,339,240,5316,580329,1405,0.916032112818763,0.987131780132296
2010,25,2027,1779,882,X,397,249,5334,575664,1384,0.926582172934212,0.99599053755025
2010,26,1754,1541,862,X,323,238,4718,542536,1347,0.869619711871655,0.904726272396402
2010,27,1753,1566,816,X,334,222,4691,519414,1353,0.903133146199371,0.941927007840111
2010,28,1458,1450,819,X,298,209,4234,547187,1284,0.773775692770479,0.880415229455867
2010,29,1323,1335,759,X,335,198,3950,531790,1265,0.742774403429925,0.842614661882896
2010,30,1290,1279,805,X,302,174,3850,526723,1250,0.730934475995922,0.858382365250436
2010,31,1381,1357,839,X,291,209,4077,518121,1241,0.786881828762007,0.833830394847588
2010,32,1378,1307,809,X,300,214,4008,525260,1212,0.763050679663405,0.847436542815637
2010,33,1485,1592,883,X,360,198,4518,537190,1225,0.841043206314339,0.888273269260976
2010,34,1520,1592,811,X,295,202,4420,558382,1235,0.791572794251964,0.76537228790335
2010,35,1564,1866,1019,X,354,204,5007,548573,1170,0.912731760403811,0.91858044292525
2010,36,1850,1959,1076,X,374,234,5493,531250,1198,1.03397647058824,1.01431787184839
2010,37,1720,2118,1061,X,358,253,5510,589930,1210,0.934009119726069,1.01232561233888
2010,38,2134,2510,1291,X,480,326,6741,623077,1206,1.08188875532238,1.11803281725652
2010,39,1995,2383,1269,X,446,294,6387,599366,1254,1.06562601148547,1.11805942184768
