PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS 
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% Unweighted ILI,% Weighted ILI 
2014,40,2958,3994,1959,X,712,527,10150,841540,1937,1.20612210946598,1.16190934151111
2014,41,3055,4437,2116,X,821,548,10977,828544,1960,1.32485420207014,1.30904574970371
2014,42,3442,4728,2321,X,870,580,11941,845727,2000,1.41192134104741,1.37071753757726
2014,43,3455,4955,2459,X,892,531,12292,862314,2008,1.42546682530957,1.43372838919349
2014,44,3632,5102,2242,X,807,530,12313,855608,2053,1.43909360361287,1.42791360069841
2014,45,4277,5799,2349,X,863,565,13853,857601,2058,1.61531994482283,1.61605453825075
2014,46,4424,5816,2323,X,911,588,14062,844700,1997,1.66473304131644,1.65976022581967
2014,47,4740,7322,2921,X,1049,642,16674,831289,2058,2.00580063010578,2.05459019041227
2014,48,5432,6848,3277,X,1165,880,17602,671251,2067,2.6222679742749,2.5354143159512
2014,49,6185,9106,4623,X,1767,1224,22905,878430,2097,2.60749291349339,2.54253404511991
2014,50,7424,13050,5287,X,1970,1441,29172,853532,2069,3.41779804389291,3.60563150718405
2014,51,9270,16418,6920,X,2671,2103,37382,837119,2016,4.46555388182564,4.90975879266548
2014,52,10363,13951,8982,X,3718,3519,40533,662849,1984,6.11496736059042,5.98220864810104
2014,53,9732,9406,9348,X,4288,4117,36891,694773,1983,5.30979183128878,5.47421220401207
2015,1,7160,9589,8072,X,3614,3048,31483,771835,1958,4.07898061114098,4.21374440893111
2015,2,7044,11966,6946,X,2909,2339,31204,792459,1971,3.93761696188699,4.21022111926244
2015,3,7840,13949,6451,X,2951,2030,33221,800359,1966,4.1507623453975,4.25968012918272
2015,4,7118,13159,5844,X,2585,1915,30621,789407,1955,3.87898764515643,3.97761417656878
2015,5,6656,12093,5380,X,2368,1654,28151,814097,1950,3.45794174404279,3.63443163762155
2015,6,6429,10328,4884,X,2072,1505,25218,823153,1917,3.06358599191159,3.26526614832267
2015,7,5537,8164,4295,X,1842,1271,21109,746836,1907,2.8264572141675,2.93082742339807
2015,8,4823,7280,4061,X,1765,1249,19178,812660,1934,2.35990451111166,2.54474274377986
2015,9,4639,7116,3914,X,1696,1076,18441,789858,1912,2.33472345662132,2.47227445070634
2015,10,4710,6748,3654,X,1654,1067,17833,805881,1907,2.21285772961517,2.35665459078542
2015,11,4559,6084,3482,X,1573,997,16695,804117,1883,2.07619040512761,2.17007521801899
2015,12,4418,6003,3284,X,1486,931,16122,801027,1848,2.01266623971477,2.04296933912333
2015,13,4174,5623,2968,X,1321,889,14975,771143,1819,1.94192257467162,1.95399904313522
2015,14,3903,4634,2931,X,1387,878,13733,785602,1820,1.74808618104333,1.72286972280795
2015,15,3448,4214,2448,X,1160,774,12044,800974,1813,1.50366928264838,1.53693620583153
2015,16,3182,4011,2052,X,975,640,10860,756827,1768,1.43493823555449,1.38283011016097
2015,17,3203,4280,2122,X,888,602,11095,761638,1753,1.45672878716661,1.46264888470879
2015,18,3106,4079,2074,X,846,589,10694,748690,1735,1.42836153815331,1.38934264524889
2015,19,2805,3641,1810,X,813,602,9671,714799,1688,1.35296775736955,1.34680366925487
2015,20,2754,3296,1768,X,736,470,9024,678023,1622,1.33092830184227,1.25451888331134
2015,21,2593,2714,1461,X,652,493,7913,616171,1579,1.28422142554583,1.21636011479247
2015,22,2211,2345,1334,X,594,462,6946,609891,1505,1.13889203152695,1.16733565996437
2015,23,2109,2284,1320,X,575,456,6744,611184,1455,1.10343202701641,1.04653893778793
2015,24,1734,2046,1167,X,495,408,5850,602628,1459,0.970748123220295,0.94366130073391
2015,25,1897,1921,1170,X,496,429,5913,592081,1445,0.998680923724963,0.935045914471085
2015,26,1678,1701,1043,X,430,380,5232,534938,1417,0.978057270188321,0.934725757714989
2015,27,1546,1675,1081,X,443,371,5116,590468,1428,0.866431373080336,0.864118323322971
2015,28,1487,1609,1028,X,405,341,4870,588337,1411,0.827756880835304,0.80653473207592
2015,29,1383,1498,1011,X,413,321,4626,580010,1401,0.797572455647316,0.742746983457698
2015,30,1415,1459,999,X,432,300,4605,567663,1352,0.811220741883829,0.737859436913021
2015,31,1392,1590,1026,X,420,325,4753,578812,1364,0.82116473051699,0.743224217430092
2015,32,1330,1667,1062,X,400,291,4750,579668,1340,0.819434572893449,0.805250526342526
2015,33,1429,1815,1134,X,436,359,5173,609994,1356,0.848041128273393,0.816942816599977
2015,34,1687,2033,1151,X,423,354,5648,635661,1362,0.888523914476427,0.814517615591617
2015,35,1636,2292,1230,X,481,324,5963,619323,1354,0.962825536916924,0.860669725805116
2015,36,1714,2169,1297,X,461,329,5970,583853,1349,1.02251765427257,0.886704436415437
2015,37,1993,2744,1392,X,536,397,7062,651524,1369,1.08392016257268,1.00845052644729
2015,38,2178,2947,1520,X,627,432,7704,654414,1367,1.17723642831602,1.06624587303576
2015,39,2170,2746,1654,X,652,404,7626,650904,1332,1.1716013421334,1.05995406744943
